wfo,phenomena,metric,baseline,value_2025,delta,pval,n_base,n_25,lat,lon
TAE,TO,FAR,0.7112375533428166,0.7096774193548387,-0.0015601339879778298,0.9850348921335189,703,31,30.45,-84.3
TBW,TO,FAR,0.8204225352112676,1.0,0.17957746478873238,0.10662754813100449,284,12,27.7054,-82.4007
TOP,TO,FAR,0.6680161943319838,0.875,0.20698380566801622,0.2188121340517467,247,8,39.07,-95.63
TSA,TO,FAR,0.6991869918699187,0.654320987654321,-0.04486600421559772,0.4173149207822069,492,81,36.14,-95.86
UNR,TO,FAR,0.731958762886598,0.8333333333333334,0.10137457044673537,0.4483171947268454,97,12,44.07,-103.21
ABQ,TO,POD,0.30337078651685395,0.7142857142857143,0.41091492776886035,0.0028928000527306385,89,14,35.03,-106.62
ABR,TO,POD,0.4918032786885246,0.7692307692307693,0.2774274905422447,0.05702711970199278,122,13,45.45,-98.41
AKQ,TO,POD,0.7528089887640449,0.5,-0.2528089887640449,0.16252827931700187,178,6,36.98,-77.0
AMA,TO,POD,0.7112970711297071,0.7391304347826086,0.027833363652901566,0.7779043403889578,239,23,35.23,-101.7
ARX,TO,POD,0.5431034482758621,0.4,-0.14310344827586208,0.23670880895724722,116,20,43.82,-91.19
BIS,TO,POD,0.5666666666666667,0.8653846153846154,0.29871794871794877,0.0002478291132272798,90,52,46.77,-100.75
BMX,TO,POD,0.6915052160953801,0.7906976744186046,0.09919245832322454,0.1698396654911165,671,43,33.17,-86.78
BOU,TO,POD,0.5451263537906137,0.56,0.01487364620938636,0.8862401076495152,277,25,40.0,-105.26
BOX,TO,POD,0.5714285714285714,0.8,0.22857142857142865,0.319377974387549,56,5,41.95,-71.13
CAE,TO,POD,0.777027027027027,0.6666666666666666,-0.11036036036036034,0.527143998725436,148,6,33.94,-81.12
CLE,TO,POD,0.5983606557377049,0.16666666666666666,-0.4316939890710383,0.004048375298118611,122,12,41.41,-81.86
CTP,TO,POD,0.3670886075949367,0.6,0.23291139240506326,0.2983188485587942,79,5,40.79,-77.86
CYS,TO,POD,0.7169811320754716,0.45454545454545453,-0.2624356775300171,0.06622580930005607,159,11,41.15,-104.8
DDC,TO,POD,0.5721925133689839,0.9428571428571428,0.3706646294881589,3.045295849514475e-05,187,35,37.76,-99.96
DLH,TO,POD,0.5797101449275363,0.8333333333333334,0.2536231884057971,0.2238576834203927,69,6,46.83,-92.21
DMX,TO,POD,0.7104477611940299,0.2,-0.5104477611940299,0.013162062199176648,335,5,41.73,-93.72
DTX,TO,POD,0.6274509803921569,0.42857142857142855,-0.1988795518207283,0.31314273690052963,51,7,42.68,-83.47
DVN,TO,POD,0.647887323943662,0.6190476190476191,-0.028839704896042928,0.7118939596129054,355,42,41.61,-90.58
EAX,TO,POD,0.6233766233766234,0.875,0.25162337662337664,0.14929865627609246,154,8,38.8,-94.26
EWX,TO,POD,0.640625,0.6666666666666666,0.02604166666666663,0.862673294892269,64,12,29.7044,-98.0289
FFC,TO,POD,0.6122448979591837,0.6829268292682927,0.07068193130910905,0.372875896261166,441,41,33.36,-84.56
FGF,TO,POD,0.6550724637681159,0.625,-0.030072463768115898,0.6820611724475709,345,48,47.9219,-97.0981
FSD,TO,POD,0.48739495798319327,0.5555555555555556,0.06816059757236231,0.6933063569336668,119,9,43.5874,-96.7297
FWD,TO,POD,0.6367521367521367,0.7872340425531915,0.1504819058010548,0.04657935257777484,234,47,32.8349,-97.2988
GLD,TO,POD,0.6068111455108359,0.8,0.19318885448916412,0.08441820051648835,323,20,39.36,-101.7
GRB,TO,POD,0.4264705882352941,0.36363636363636365,-0.06283422459893045,0.6950324351190584,68,11,44.49,-88.11
GRR,TO,POD,0.39473684210526316,0.631578947368421,0.23684210526315785,0.0913739367364452,38,19,42.89,-85.54
GSP,TO,POD,0.695364238410596,0.8,0.10463576158940402,0.6158707332850275,151,5,34.88,-82.22
HGX,TO,POD,0.6680327868852459,0.6666666666666666,-0.001366120218579292,0.9931810559547904,244,9,29.47,-95.07
HUN,TO,POD,0.7049180327868853,0.6764705882352942,-0.028447444551591095,0.7394724272213716,183,34,34.72,-86.65
ICT,TO,POD,0.7345679012345679,1.0,0.26543209876543206,0.181245038030316,162,5,37.65,-97.44
ILN,TO,POD,0.6156716417910447,0.2727272727272727,-0.342944369063772,0.0016687266676729973,268,22,39.42,-83.82
ILX,TO,POD,0.5433333333333333,0.5777777777777777,0.03444444444444439,0.5644604020259514,300,90,40.15,-89.33
IND,TO,POD,0.6115702479338843,0.8205128205128205,0.20894257257893623,0.01640723711035411,121,39,39.7,-86.28
IWX,TO,POD,0.6534090909090909,0.25,-0.40340909090909094,0.0014597516711987737,176,16,41.35,-85.7
JAN,TO,POD,0.7859813084112149,0.7807017543859649,-0.005279554025250044,0.8961355323728111,1070,114,32.31,-90.08
JAX,TO,POD,0.609271523178808,0.8,0.1907284768211921,0.3884332211495143,151,5,30.48,-81.7
JKL,TO,POD,0.23076923076923078,0.8,0.5692307692307692,0.026494152402916284,13,5,37.59,-83.31
LBF,TO,POD,0.5619834710743802,0.875,0.3130165289256198,0.004013011630939225,121,24,41.13,-100.7
LCH,TO,POD,0.5464285714285714,0.42857142857142855,-0.11785714285714283,0.5363516114082041,280,7,30.12,-93.21
LIX,TO,POD,0.621875,0.6551724137931034,0.03329741379310347,0.722892592619658,320,29,30.33,-89.82
LMK,TO,POD,0.4588744588744589,0.7352941176470589,0.2764196587726,0.002613504245566291,231,34,38.11,-85.64
LOT,TO,POD,0.5763358778625954,0.4782608695652174,-0.09807500829737803,0.3625529867894671,262,23,41.6,-88.08
LSX,TO,POD,0.5672268907563025,0.7575757575757576,0.19034886681945506,0.005056375295803145,238,66,38.69,-90.68
LUB,TO,POD,0.5873015873015873,0.90625,0.3189484126984127,0.0007188737069010637,126,32,33.52,-101.87
LWX,TO,POD,0.6074766355140186,0.7142857142857143,0.10680907877169565,0.5738604255749696,107,7,38.97,-77.47
LZK,TO,POD,0.6325581395348837,0.75,0.11744186046511629,0.22154372646347542,215,28,34.83,-92.25
MEG,TO,POD,0.6859205776173285,0.7272727272727273,0.041352149655398796,0.5811367075568301,277,44,35.13,-89.8
MKX,TO,POD,0.6438356164383562,0.875,0.23116438356164382,0.06258712883268201,146,16,42.96,-88.54
MOB,TO,POD,0.7088122605363985,0.42105263157894735,-0.2877596289574511,0.008876283797878512,261,19,30.67,-88.23
MPX,TO,POD,0.5880281690140845,0.7857142857142857,0.1976861167002012,0.01406255186955427,284,42,44.849,-93.5656
OAX,TO,POD,0.7549295774647887,0.7419354838709677,-0.012994093593820977,0.8720348474963668,355,31,41.3201,-96.3672
OHX,TO,POD,0.5602094240837696,0.6,0.039790575916230364,0.6827194863102615,191,30,36.24,-86.56
OUN,TO,POD,0.7368421052631579,0.8076923076923077,0.07085020242914986,0.4288345918555113,285,26,35.23,-97.46
PAH,TO,POD,0.6098901098901099,0.839622641509434,0.22973253161932405,1.0853617061123226e-05,364,106,37.06,-88.77
PBZ,TO,POD,0.592814371257485,0.7857142857142857,0.19289991445680066,0.15562699107446987,167,14,40.53,-80.21
PHI,TO,POD,0.5398230088495575,0.2,-0.33982300884955746,0.13645716808997668,113,5,40.0136,-74.8174
PUB,TO,POD,0.5625,0.3333333333333333,-0.22916666666666669,0.1869659484748547,96,9,38.27,-104.52
RAH,TO,POD,0.8367346938775511,0.47058823529411764,-0.3661464585834334,0.0007282868207667303,98,17,35.77,-78.68
SGF,TO,POD,0.7153284671532847,0.7708333333333334,0.055504866180048684,0.4276621304810041,274,48,37.23,-93.4
SHV,TO,POD,0.6830708661417323,0.7358490566037735,0.05277819046204124,0.42998878825469855,508,53,32.45,-93.84
SJT,TO,POD,0.7592592592592593,0.6363636363636364,-0.12289562289562295,0.3711842500549578,108,11,31.37,-100.49
TAE,TO,POD,0.8532934131736527,0.8333333333333334,-0.019960079840319334,0.848030456787276,334,12,30.45,-84.3
TSA,TO,POD,0.7137681159420289,0.6851851851851852,-0.028582930756843705,0.6723441238472588,276,54,36.14,-95.86
ABQ,TO,LTA,11.0,2.8,-8.2,0.008309582196234889,19,5,35.03,-106.62
ABR,TO,LTA,9.69767441860465,11.0,1.3023255813953494,0.7576856398236987,43,7,45.45,-98.41
AMA,TO,LTA,11.483516483516484,11.733333333333333,0.24981684981684893,0.6334224727755831,91,15,35.23,-101.7
BIS,TO,LTA,6.911764705882353,11.9375,5.025735294117647,0.08349985720705806,34,32,46.77,-100.75
BMX,TO,LTA,12.20873786407767,12.5,0.29126213592233086,0.5155250146935131,206,22,33.17,-86.78
BOU,TO,LTA,7.89873417721519,9.2,1.301265822784809,0.9481009426862506,79,10,40.0,-105.26
CYS,TO,LTA,9.5,8.6,-0.9000000000000004,0.8928485205375271,72,5,41.15,-104.8
DDC,TO,LTA,10.102941176470589,5.0,-5.102941176470589,0.05939495008513711,68,14,37.76,-99.96
DVN,TO,LTA,10.979452054794521,9.8125,-1.1669520547945211,0.9372757419025461,146,16,41.61,-90.58
EAX,TO,LTA,10.183098591549296,2.6,-7.583098591549296,0.06757366848965875,71,5,38.8,-94.26
FFC,TO,LTA,7.41726618705036,7.857142857142857,0.439876670092497,0.9534373476986201,139,21,33.36,-84.56
FGF,TO,LTA,9.672131147540984,9.434782608695652,-0.2373485388453318,0.7285059953665874,122,23,47.9219,-97.0981
FSD,TO,LTA,8.395348837209303,8.0,-0.39534883720930303,0.9593690809883482,43,5,43.5874,-96.7297
FWD,TO,LTA,12.846846846846846,9.952380952380953,-2.8944658944658936,0.2162216561127842,111,21,32.8349,-97.2988
GLD,TO,LTA,9.22,11.363636363636363,2.1436363636363627,0.6070492853342739,100,11,39.36,-101.7
GRR,TO,LTA,9.909090909090908,10.125,0.21590909090909172,0.6789091160046312,11,8,42.89,-85.54
HUN,TO,LTA,10.315068493150685,13.157894736842104,2.8428262436914196,0.2729021928451897,73,19,34.72,-86.65
ICT,TO,LTA,11.782051282051283,9.8,-1.9820512820512821,0.6046267306083881,78,5,37.65,-97.44
ILN,TO,LTA,7.3238095238095235,8.8,1.4761904761904772,0.5843105693669497,105,5,39.42,-83.82
ILX,TO,LTA,10.24390243902439,11.666666666666666,1.4227642276422756,0.23074259382461604,82,27,40.15,-89.33
IND,TO,LTA,10.24,8.4,-1.8399999999999999,0.3755713874368044,50,20,39.7,-86.28
JAN,TO,LTA,12.796875,11.348837209302326,-1.4480377906976738,0.32510401194268135,320,43,32.31,-90.08
LBF,TO,LTA,11.66,12.38888888888889,0.7288888888888891,0.5916668433988241,50,18,41.13,-100.7
LIX,TO,LTA,8.657657657657658,5.7272727272727275,-2.930384930384931,0.1179858090179091,111,11,30.33,-89.82
LMK,TO,LTA,10.229508196721312,8.31578947368421,-1.9137187230371016,0.4112723048555258,61,19,38.11,-85.64
LOT,TO,LTA,10.447368421052632,7.5,-2.947368421052632,0.6111812379260055,76,6,41.6,-88.08
LSX,TO,LTA,11.126582278481013,14.5,3.3734177215189867,0.17083957083089585,79,34,38.69,-90.68
LUB,TO,LTA,10.46,11.526315789473685,1.066315789473684,0.609132119379985,50,19,33.52,-101.87
LZK,TO,LTA,13.974358974358974,9.714285714285714,-4.260073260073261,0.19912594227144842,78,14,34.83,-92.25
MEG,TO,LTA,11.666666666666666,13.2,1.5333333333333332,0.9315901166059551,129,25,35.13,-89.8
MKX,TO,LTA,10.923076923076923,11.25,0.32692307692307665,0.7440076828841622,39,8,42.96,-88.54
MOB,TO,LTA,9.481132075471699,9.833333333333334,0.35220125786163514,0.9638448342878339,106,6,30.67,-88.23
MPX,TO,LTA,11.545454545454545,8.4,-3.1454545454545446,0.5194807885648687,99,20,44.849,-93.5656
OAX,TO,LTA,10.076335877862595,11.8,1.7236641221374054,0.8060917397464022,131,10,41.3201,-96.3672
OHX,TO,LTA,9.985507246376812,13.533333333333333,3.547826086956521,0.24856771642685715,69,15,36.24,-86.56
OUN,TO,LTA,12.138728323699421,14.818181818181818,2.679453494482397,0.17096698286916923,173,22,35.23,-97.46
PAH,TO,LTA,9.986666666666666,12.85,2.8633333333333333,0.040103696652534486,150,60,37.06,-88.77
PBZ,TO,LTA,6.898305084745763,3.5,-3.398305084745763,0.24941241316502116,59,6,40.53,-80.21
SGF,TO,LTA,10.479338842975206,9.35,-1.1293388429752067,0.700344987156948,121,20,37.23,-93.4
SHV,TO,LTA,11.87719298245614,12.285714285714286,0.40852130325814606,0.7720334488629199,228,28,32.45,-93.84
SJT,TO,LTA,10.131147540983607,8.2,-1.9311475409836074,0.44447005044091703,61,5,31.37,-100.49
TAE,TO,LTA,8.911330049261084,14.222222222222221,5.310892172961138,0.10724815150193191,203,9,30.45,-84.3
TSA,TO,LTA,11.932432432432432,6.107142857142857,-5.825289575289575,0.01654618321003735,148,28,36.14,-95.86
ABQ,SV,FAR,0.8106966924700915,0.8088803088803089,-0.0018163835897825331,0.9227283714372162,2842,518,35.03,-106.62
ABR,SV,FAR,0.37168141592920356,0.46641791044776115,0.09473649451855759,0.0028053902027818764,1921,268,45.45,-98.41
AFG,SV,FAR,0.9733333333333334,0.8888888888888888,-0.08444444444444454,0.19708184039090848,75,9,,
AKQ,SV,FAR,0.3080168776371308,0.32826747720364746,0.020250599566516647,0.4638755287422144,1896,329,36.98,-77.0
ALY,SV,FAR,0.3118022328548644,0.22535211267605637,-0.08645012017880804,0.12450219181253333,1254,71,42.69,-73.83
AMA,SV,FAR,0.5067516879219804,0.6558891454965359,0.14913745757455543,8.138309681766488e-09,2666,433,35.23,-101.7
APX,SV,FAR,0.541371158392435,0.7627118644067796,0.22134070601434463,0.0013013173794177754,423,59,44.9,-84.71
ARX,SV,FAR,0.43084112149532705,0.5488721804511278,0.1180310589558008,0.009771128620211855,1070,133,43.82,-91.19
BGM,SV,FAR,0.40102171136653897,0.3282442748091603,-0.07277743655737867,0.1017206036883337,1566,131,42.21,-75.98
BIS,SV,FAR,0.3356309650053022,0.4285714285714286,0.0929404635661264,0.0023090637661927465,1886,280,46.77,-100.75
BMX,SV,FAR,0.33881952326901243,0.41947565543071164,0.0806561321616992,0.00999831314342377,1762,267,33.17,-86.78
BOI,SV,FAR,0.815625,0.8717948717948718,0.05616987179487176,0.38688480939309056,320,39,43.56,-116.21
BOU,SV,FAR,0.6288840262582056,0.6528925619834711,0.024008535725265512,0.3782212351256873,2285,363,40.0,-105.26
BOX,SV,FAR,0.3378238341968912,0.1527777777777778,-0.18504605641911342,0.0012208495271996977,965,72,41.95,-71.13
BRO,SV,FAR,0.7653508771929824,0.8404255319148937,0.07507465472191122,0.1106641558637233,456,94,25.91,-97.41
BTV,SV,FAR,0.2513562386980108,0.2033898305084746,-0.047966408189536236,0.4165700539738669,553,59,44.46,-73.15
BUF,SV,FAR,0.33514099783080264,0.3580246913580247,0.022883693527222082,0.676130665283475,922,81,42.94,-78.71
BYZ,SV,FAR,0.5652654867256637,0.7038461538461538,0.1385806671204901,5.982946543541361e-05,904,260,45.75,-108.57
CAE,SV,FAR,0.269694819020582,0.18965517241379315,-0.08003964660678886,0.06001147467527328,1409,116,33.94,-81.12
CAR,SV,FAR,0.5147783251231527,0.7317073170731707,0.21692899195001802,0.007955136367667842,406,41,45.78,-68.62
CHS,SV,FAR,0.3623361144219309,0.5327102803738317,0.1703741659519008,0.0006341476598426172,839,107,32.89,-80.02
CLE,SV,FAR,0.33694810224632066,0.38787878787878793,0.050930685632467276,0.19430338826528437,1291,165,41.41,-81.86
CRP,SV,FAR,0.7195301027900147,0.7283950617283951,0.008864958938380352,0.8665269602522974,681,81,27.77,-97.5
CTP,SV,FAR,0.3081048867699643,0.3915094339622641,0.08340454719229984,0.013964233045250796,1678,212,40.79,-77.86
CYS,SV,FAR,0.5777886497064579,0.5619047619047619,-0.01588388780169603,0.5954568550560859,2044,315,41.15,-104.8
DDC,SV,FAR,0.5077038707252912,0.5503355704697986,0.04263169974450742,0.16265606365138396,2661,298,37.76,-99.96
DLH,SV,FAR,0.4979625101874491,0.4629629629629629,-0.03499954722448617,0.4855277892676785,1227,108,46.83,-92.21
DMX,SV,FAR,0.5019782393669634,0.5078740157480315,0.005895776381068085,0.8594042860749496,2022,254,41.73,-93.72
DTX,SV,FAR,0.3189033189033189,0.3571428571428571,0.038239538239538184,0.4790804814654559,693,84,42.68,-83.47
DVN,SV,FAR,0.36007130124777187,0.3829787234042553,0.022907422156483448,0.5866199631334292,1683,141,41.61,-90.58
EAX,SV,FAR,0.4533879035925421,0.3087557603686636,-0.14463214322387852,4.2315387154636465e-05,2199,217,38.8,-94.26
EKA,SV,FAR,0.8620689655172413,0.8181818181818181,-0.043887147335423204,0.72852040089607,29,11,40.8,-124.16
EPZ,SV,FAR,0.8711734693877551,0.8721804511278195,0.0010069817400644165,0.9744175960573594,784,133,31.8728,-106.6982
EWX,SV,FAR,0.5921696574225122,0.643598615916955,0.051428958494442845,0.09722564225036502,1839,289,29.7044,-98.0289
FFC,SV,FAR,0.40514681623226656,0.5465686274509804,0.1414218112187139,5.629956547619669e-08,3031,408,33.36,-84.56
FGF,SV,FAR,0.19012062033314192,0.38219895287958117,0.19207833254643925,5.773674909380642e-10,1741,191,47.9219,-97.0981
FGZ,SV,FAR,0.8894849785407726,0.9180327868852459,0.028547808344473347,0.48780517592858486,932,61,35.23,-111.82
FSD,SV,FAR,0.34686147186147187,0.42469879518072284,0.07783732331925097,0.006477612683432725,1848,332,43.5874,-96.7297
FWD,SV,FAR,0.508664627930683,0.5091649694501018,0.000500341519418801,0.983620217713481,2943,491,32.8349,-97.2988
GGW,SV,FAR,0.48063781321184507,0.5873015873015873,0.10666377408974226,0.025125890866805237,878,126,48.2,-106.62
GID,SV,FAR,0.5127902400629674,0.50199203187251,-0.010798208190457403,0.7440453108632976,2541,251,40.64,-98.38
GJT,SV,FAR,0.8014440433212997,0.8333333333333334,0.031889290012033666,0.5404908415242962,277,72,39.11,-108.52
GLD,SV,FAR,0.6025477707006369,0.5990453460620525,-0.0035024246385844116,0.8905707074591577,3140,419,39.36,-101.7
GRB,SV,FAR,0.44339622641509435,0.47115384615384615,0.027757619738751793,0.5938721470088772,742,104,44.49,-88.11
GRR,SV,FAR,0.4531001589825119,0.4655172413793104,0.012417082396798507,0.8557888105977778,629,58,42.89,-85.54
GSP,SV,FAR,0.3285821455363841,0.33204633204633205,0.003464186509947953,0.9097996330743441,2666,259,34.88,-82.22
GYX,SV,FAR,0.2577777777777778,0.3389830508474576,0.08120527306967984,0.16979138536122595,900,59,43.89,-70.25
HFO,SV,FAR,0.7586206896551724,0.75,-0.008620689655172376,0.9598723752849924,29,8,,
HGX,SV,FAR,0.6295418641390205,0.6405228758169934,0.01098101167797294,0.7903630816168299,1266,153,29.47,-95.07
HNX,SV,FAR,0.9185185185185185,1.0,0.08148148148148149,0.23569863893276233,135,16,36.31,-119.63
HUN,SV,FAR,0.5608974358974359,0.5130434782608695,-0.04785395763656641,0.17977120688021053,1248,230,34.72,-86.65
ICT,SV,FAR,0.46837536171971894,0.47770700636942676,0.009331644649707815,0.7552539981878718,2419,314,37.65,-97.44
ILM,SV,FAR,0.4640883977900553,0.4025974025974026,-0.061490995192652664,0.30320227442593717,724,77,34.27,-77.91
